,id,name,level,joined_time,num_message,reaction_score,point
65,141225,denhatxom7,Đã tốn tiền,1235804756,"8,302","5,147",113
66,413108,dark4869,Senior Member,1270713290,"1,605",840,113
67,1080416,Opera,Đã tốn tiền,1343695805,"4,131",696,113
68,57731,tavietanh,Senior Member,1204901433,"3,550","1,058",113
69,1808035,voz6368,Senior Member,1652615282,"2,579","3,104",113
70,1450783,174cm,Đã tốn tiền,1416908593,"5,819","8,347",113
71,1661777,Something Else,Senior Member,1524103368,"13,280","7,129",113
72,1222580,janesjunioray4556,Đã tốn tiền,1363154606,"5,286","1,927",113
73,1394338,turbo1,Senior Member,1388978680,"3,932","1,774",113
74,1331636,[L]iberty,Đã tốn tiền,1379310549,"6,341",882,113
75,1440986,falconxtx,Senior Member,1410171627,581,481,93
76,60598,satthu_khidingu,Đã tốn tiền,1206143735,"5,045","1,985",113
77,1302583,tenoroboebaroque,Senior Member,1374775386,"1,704",875,113
78,1873162,Qui_gon,Senior Member,1679679913,735,"1,217",93
79,1102030,buzz1020,Senior Member,1346394184,"2,884","3,330",113
80,470580,phatloc,Senior Member,1278661094,950,"1,397",93
81,1879644,Chu Nguyên Chương,Senior Member,1682225028,"1,401","3,733",113
82,120621,AltaIr21,Đã tốn tiền,1227544029,"5,231","3,646",113
83,1885268,GrassRoot,Senior Member,1683769441,471,580,93
84,1478994,vodanh_kiemthanh,Đã tốn tiền,1422624228,"2,594","2,052",113
85,1085669,Sat.Vun,Đã tốn tiền,1344353762,"2,052",904,113
86,1427442,anueyiam.Ver01,Senior Member,1404147781,650,721,93
87,1186681,hoangminh.pianist,Senior Member,1358010747,427,13,18
88,1150171,langtusau96,Đã tốn tiền,1352521947,269,304,63
89,69987,Quang88,Đã tốn tiền,1209609332,"2,009",701,113
90,1816931,zhankkk,Senior Member,1656909249,"5,255","3,100",113
91,902,prescolt,Senior Member,1154267040,"17,095","7,169",113
92,1275380,krazy9x,Senior Member,1370951797,105,39,28
93,1723803,deepspace0207,Senior Member,1616075084,"1,699",659,113
94,1072188,nhingi_bangio,Đã tốn tiền,1342706872,"1,945","2,818",113
95,1823424,hoabinhvn0123,Senior Member,1659536807,794,310,63
96,1786447,nhanductn,Senior Member,1641792198,"1,125","1,645",113
97,1635989,bua_liem_than_khi,Senior Member,1510105296,"1,398",841,113
98,1169236,The.Lord.OF.The.Bananas,Đã tốn tiền,1355397927,"1,183",496,113
99,1692896,ruoungoai68.com,Senior Member,1605375224,347,484,63
100,451108,hajktom,Senior Member,1275713327,"1,577",280,83
101,1337793,emkhongkieu,Senior Member,1380378592,683,226,43
102,5480,chantinhvn,Đã tốn tiền,1167300988,"4,219","2,332",113
103,1636125,longcanhtn,Senior Member,1510150108,211,253,63
104,1732881,QuyOng,Senior Member,1620280611,275,192,43
105,409904,v9i4p,Đã tốn tiền,1270385231,332,188,43
106,1049790,kingvn01,Senior Member,1338829974,"2,469",931,113
107,1690535,RTX3090,Senior Member,1603093398,"1,973","4,528",113
108,1445396,mr.chuoi93,Senior Member,1411521442,556,117,43
109,1172990,VietNamOi_fr,Senior Member,1355966537,"4,653","2,277",113
110,1093725,ducchan,Đã tốn tiền,1345311711,"1,456",870,113
111,1747027,Eren_Yeager,Senior Member,1625157582,475,262,63
112,1409846,keomutchoiboiv1,Đã tốn tiền,1393515420,393,136,43
113,1725724,sincos90,Senior Member,1616994773,880,993,93
114,929272,danchoi9xkiemtretrau,Senior Member,1319618437,"3,531","2,619",113
115,1630625,I.L.U,Senior Member,1506256771,549,279,63
116,15344,myhop,Đã tốn tiền,1182313209,539,431,63
117,1442252,kenshjn[KyO],Senior Member,1410599427,409,389,63
118,268996,nghia100394,Đã tốn tiền,1254045614,"1,591","1,334",113
119,1231106,Fac Du,Senior Member,1364371490,"2,621","1,564",113
120,1405986,vegata1451996,Đã tốn tiền,1392594903,902,273,63
121,577249,Resa,Senior Member,1291299033,"2,490",893,113
122,1919928,luvFany,Senior Member,1692500209,486,265,63
123,391960,hoangphi1650,Senior Member,1267716675,"4,672","1,770",113
124,1059880,ntlneo,Senior Member,1340337858,471,748,93
125,1120915,15/8Onha1minh,Senior Member,1348822820,"1,172","1,360",113
126,1460701,kkhoi021,Senior Member,1417880143,145,33,28
127,1669265,Haibara Ai,Senior Member,1583934196,"14,287","13,154",113
128,1255644,CASNE1T,Senior Member,1367903901,515,640,93
129,1427256,Vozer2k14,Senior Member,1404132787,"2,179","1,662",113
130,1904900,lorenvu,Junior Member,1688284903,9,-3,1
131,1898298,Dbeaver,Senior Member,1686841125,"1,082",429,83
132,1592057,lacdasaynuoc,Senior Member,1486576145,"8,829","3,780",113
133,374472,Vero19999,Senior Member,1265464704,889,971,93
134,1088591,KingLove1,Senior Member,1344667359,122,-85,16
135,1688884,Củ khoai lang nho nhỏ,Senior Member,1603086705,894,838,93
136,1716674,Giật_Tít,Junior Member,1613294682,40,-14,6
137,1962426,Haval H6,Senior Member,1705834170,698,-32,43
138,1716447,cudsav,Junior Member,1613134943,50,15,8
139,1955862,MrLeonin,Junior Member,1703762948,14,3,3
140,1860510,cá gỗ đi bơi,Senior Member,1675302516,"1,518","2,581",113
141,1414147,Sous.levent,Đã tốn tiền,1394579569,"5,812","4,297",113
142,1793303,bzbt995,Senior Member,1645895148,28,2,3
143,1206446,conginfo,Senior Member,1360830682,102,5,18
144,1301978,ltdh2014,Member,1374727664,554,284,63
145,1971986,Thần-Gió,Senior Member,1708868778,163,55,28
146,1433428,lamsaomatenminhdaithe,Senior Member,1408040098,20,7,3
147,1983745,Delicious_Cow_3193,Member,1712050600,832,180,43
148,1985689,cameragiarechinhhang,Junior Member,1712569107,4,0,1
149,1459047,fan_blackberry,Junior Member,1417519767,16,3,3
150,1943343,rick.hazel,Senior Member,1700036356,19,-2,1
151,1230239,theBLUE4everinmyheart,Junior Member,1364266329,82,1,8
152,1702995,Mincab_cg,Senior Member,1606729048,19,3,3
153,2000887,shevaanh,Junior Member,1716521348,15,0,3
154,1486559,quangace,Junior Member,1425569216,50,-2,8
155,1491592,acccuavip,Member,1426993923,"1,087",354,83
156,2005366,cimaroa,Junior Member,1717653377,2,0,1
157,1452709,10kusd,Senior Member,1416922984,"1,559",730,113
158,2011830,xsunlight_,Junior Member,1719137931,34,-2,6
159,1733964,Khánh Chẻo,Junior Member,1620720711,17,0,1
160,1421578,bakstaber,Senior Member,1403868053,"1,168","1,150",113
161,1696643,từ ngữ có nghĩa phản cảm,Senior Member,1605513488,484,630,93
162,1162141,thanh164,Senior Member,1354380369,"3,660","1,022",113
163,268,vtalinh,d(◕‿◕)b,1153723860,"15,146","325,140",113
164,1835153,Ikaros9x,Senior Member,1664445659,"1,437","1,566",113
165,1675398,tienthanh108,Junior Member,1594508717,65,18,8
166,1898247,Robothetdienn,Junior Member,1686827013,9,1,3
167,1866065,Caorauroi009,Junior Member,1677166062,13,3,3
168,1417249,tungp104,Đã tốn tiền,1395328780,127,28,28
169,1866380,huypro72,Junior Member,1677291964,11,4,3
170,1891813,hungvo999,Junior Member,1685327951,2,0,1
171,1238341,wtuananh80,Junior Member,1365317493,23,0,1
172,1829006,Rose' Comeback,Senior Member,1661790008,"1,661","1,706",113
173,1094934,sonthhnt,Junior Member,1345472624,326,65,28
174,576052,grassco,Đã tốn tiền,1291164920,"1,926",149,63
175,1982835,darkrose1,Senior Member,1711783223,"3,437","4,342",113
176,1965350,Lương 3 củ,Senior Member,1706707142,260,513,93
177,1056790,mrlongdevil1988,Đã tốn tiền,1339834671,"1,063",83,48
178,1686132,alohomora90,Senior Member,1601576609,"1,014","1,006",113
179,23503,sonjk,Senior Member,1187702880,"3,020",79,63
180,1331153,condieuuocmo,Senior Member,1379216233,104,20,18
181,1458737,AirFrance*,Senior Member,1417459229,917,162,43
182,1312850,icklad,Senior Member,1376295890,"1,774",491,83
183,1491530,shenlong90,Đã tốn tiền,1426955993,498,130,43
184,1834520,zenk01,Senior Member,1664241961,"3,114","2,141",113
185,820015,Chickensoul,Senior Member,1310734564,"2,124",918,113
186,707512,pspgamer114,Senior Member,1301800333,"2,164","1,233",113
187,1845259,Jindo94,Junior Member,1668951310,340,68,28
188,1760896,hihi@hehe,Member,1630174413,923,271,63
189,1799998,thaitran9,Junior Member,1649240905,9,2,3
190,1859630,super luck,Member,1675040352,"2,251",514,83
191,1815402,Bunbohuebtc,Senior Member,1656207030,"1,359",529,113
192,1425911,Kaveri,Đã tốn tiền,1403972573,"10,717","1,893",113
193,1441813,lienhuy,Senior Member,1410448461,397,52,28
194,1558797,funbibiboy,Member,1461793132,255,260,63
195,1780061,Mr.6626,Senior Member,1638284840,278,191,43
196,1664697,conduonglang1594,Member,1525745914,"1,379",163,63
197,1693458,seominhhoang,Senior Member,1605391371,"1,702",498,83
198,1736537,Tôi thua,Senior Member,1621519845,"3,773",-526,83
199,732253,thedevil6119,Junior Member,1303533869,802,88,28
200,1863127,halflife1,Junior Member,1676174072,31,-1,6
201,1820237,Brett Cooper,Senior Member,1658246107,261,40,28
202,65838,darkangel6789,Junior Member,1208143882,20,1,3
203,1330333,ngolebaotrung,Senior Member,1379089044,"2,582",948,113
204,67904,thanhlaoboi,Senior Member,1208858712,"1,026",474,83
205,1681245,dhoang1,Senior Member,1597816578,61,49,18
206,1719817,Taiuou,Junior Member,1614466184,86,90,18
207,1796831,Opv2310,Junior Member,1647591565,386,74,28
208,1728965,Emxinthua,Member,1618536160,"4,207",948,113
209,1467128,nhatchi95,Junior Member,1419274837,16,1,3
210,1830780,maybietbomaylaaikhong,Junior Member,1662652873,15,3,3
211,1880866,waoZa arimA,Junior Member,1682662768,13,3,3
212,1767455,bao5713515,Senior Member,1632812600,541,167,43
213,1896816,kh0ctn2,Senior Member,1686531477,164,52,28
214,1871279,Anhgau15,Junior Member,1679031200,361,50,28
215,1399611,suzukyviva,Senior Member,1390307273,"3,179","1,294",113
216,1679627,kid.sb,Senior Member,1597810589,80,36,18
217,1713420,Domobidan,Senior Member,1611314365,"2,813","1,365",113
218,1828636,Không hình Trư khinh,Senior Member,1661651044,579,773,93
219,1897679,Duс_thang,Junior Member,1686706458,3,0,1
220,1822203,Dracula21,Senior Member,1659068021,"1,494",600,113
221,1253879,hooliganNTver3,Junior Member,1367637677,417,22,18
222,1682069,longvang,Senior Member,1597817655,387,69,28
223,1850133,Vinicius Junior,Junior Member,1671089001,5,-1,1
224,1155910,qualayeuduoi,Senior Member,1353263518,"1,821",668,113
225,1368985,minhbksifs,Senior Member,1384709081,993,"2,614",93
226,1679927,Caraven47,Senior Member,1597811674,330,250,63
227,105720,soral,Senior Member,1222267081,"1,087",97,48
228,1850802,Maybach S450,Senior Member,1671417334,107,37,28
229,1734739,Ét Âu Ép Em,Senior Member,1620976617,259,79,28
230,1722680,Adamantium1412,Senior Member,1615540150,"2,140",833,113
231,1680281,Người Vô Tâm,Junior Member,1597813338,4,0,1
232,1682674,Tô Minh,Senior Member,1597818501,"4,072","2,561",113
233,1360514,alnu,Senior Member,1383882398,467,55,28
234,1264055,SeeYa_HT,Member,1369168033,"1,124",242,63
235,1375966,Lee.C,Senior Member,1385964216,439,59,28
236,1073298,blackmetal666,Senior Member,1342841136,315,484,63
237,1330555,thanhnamlww,Senior Member,1379132754,391,98,28
238,1488037,taidz02,Senior Member,1426002949,"2,809",412,83
239,1739431,HTAMYN,Senior Member,1622175048,"1,633",506,113
240,1304143,Quocanhx,Senior Member,1374939190,211,74,28
241,1708659,choivozchovui123,Senior Member,1609253641,"2,521","1,167",113
242,1788582,hoangntran,Senior Member,1642985531,592,276,63
243,368112,_Elfangor_,Junior Member,1264868535,48,8,8
244,1898011,yêu thầm em vợ,Junior Member,1686775807,66,35,18
245,969674,waysoulsky,Junior Member,1323440991,126,10,18
246,1430475,trong vang,Junior Member,1404718274,80,29,18
247,1714436,Tudeeptry,Senior Member,1611849025,967,500,93
248,1758461,bryannguyen2021,Senior Member,1629264889,482,292,63
249,361424,minhnd02,Senior Member,1264238497,627,478,63
250,1714856,zchimsau,Senior Member,1612132448,633,191,43
251,1587961,xamxam23,Member,1484324144,"1,326",283,83
252,1800503,thebigshort1102,Senior Member,1649547656,192,93,28
253,1720801,shiroki18,Member,1614761639,"2,234",572,113
254,1195770,No.Reaseon2,Senior Member,1359217099,"1,018",940,113
255,1107243,xuanhuy0202,Đã tốn tiền,1347069586,536,0,16
256,1544018,bnguyen54355,Junior Member,1461049008,17,-1,1
257,1764922,Phang Vợ Squall,Senior Member,1631787430,20,2,3
258,1690977,gNodeB,Senior Member,1605359395,918,"1,146",93
259,97289,andas,Senior Member,1219220320,"2,089","2,234",113
260,1894888,Trư CôĐơn With Zero SGBB,Junior Member,1686079579,37,24,8
261,1828499,tran_xuan_suc,Senior Member,1661578730,52,10,8
262,1662905,BNHP,Senior Member,1524679419,"2,239","1,396",113
263,1885487,romcomlover,Senior Member,1683811158,26,4,3
264,545092,vutoan0706,Senior Member,1286866172,"3,061",408,83
265,1805751,Sam Bankman-Fried- FTX,Senior Member,1651389477,"3,630",-198,83
266,1717737,Thebadb,Senior Member,1613708434,"1,769",665,113
267,1452275,thxu4lovingme,Senior Member,1416919150,"1,081",391,83
268,1661597,tudoan.it,Senior Member,1524017280,22,1,3
269,1715221,tieumanthau1997,Member,1612325299,976,226,43
270,1815219,Tuanpin04,Senior Member,1656098507,"1,141",782,113
271,1733705,Tothemoon,Member,1620635282,442,129,43
272,197644,haslertion,Senior Member,1246259682,"1,276","2,495",113
273,364544,Friday,Senior Member,1264527789,"2,070","1,936",113
274,1705091,thocon1997,Senior Member,1607589421,669,151,43
275,1590481,mrmeo1904,Senior Member,1486031299,216,111,43
276,1173772,quanbali,Member,1356077208,901,"1,135",93
277,1669400,Xuan9999,Senior Member,1583934371,386,85,28
278,1712397,Cfden13k1ly,Member,1610772695,"3,825","2,316",113
279,1769500,vtt.24,Senior Member,1633623879,236,130,43
280,654328,trinhquocnam,Junior Member,1298656523,78,30,18
281,1836923,vanquanco,Senior Member,1665167144,403,88,28
282,1901071,Vô tri hưởng thái bình,Senior Member,1687424008,30,26,18
283,171489,nokiadom,Senior Member,1242406788,360,290,63
284,1814496,kelamloi,Senior Member,1655821926,108,-13,18
285,1480443,an21345,Senior Member,1423054460,"2,562","3,174",113
286,1889991,DuongHoa7117,Junior Member,1684918313,16,-1,3
287,1869524,mái bạc,Member,1678372178,898,116,43
288,1687524,Pulisic,Senior Member,1601600583,527,326,63
289,1901717,Mafia_113,Junior Member,1687585272,16,2,3
290,1585163,MrSgx,Senior Member,1483082798,"1,283",821,113
291,1763162,kidporao19,Senior Member,1631066129,"3,110",334,83
292,1699026,quansuvietnam001,Senior Member,1605677140,764,"1,843",93
293,1902221,thongnguyentnn,Junior Member,1687704856,17,1,3
294,1758449,anhhungjp,Member,1629262909,682,164,43
295,1867232,Motion3dvn,Junior Member,1677591721,42,29,18
296,1607501,chetmethangthread,Senior Member,1493726513,304,138,43
297,1450479,Nhin.Gi.May,Junior Member,1416906495,36,-1,6
298,1688653,ChelloMeow,Senior Member,1603084972,764,"2,313",93
299,1786360,kakatutu,Senior Member,1641739568,41,24,8
300,1716418,thanhdkh90,Senior Member,1613110464,230,-40,18
301,1825428,Babyboy_sexual,Junior Member,1660304508,11,0,1
302,1694203,toad_sage,Junior Member,1605408928,44,6,8
303,714085,el_nin0,Senior Member,1302226232,866,53,28
304,367540,tactic03,Junior Member,1264827719,300,64,28
305,1611545,Nguoi.qua.duong,Junior Member,1495885263,18,0,1
306,1819453,Em trai của CZ,Senior Member,1657940954,87,30,18
307,1748455,dinhsong1211,Senior Member,1625815366,926,70,28
308,1758278,ONO8991,Senior Member,1629201449,893,"1,531",93
309,1839330,1560662341_3780dc,Junior Member,1666275971,18,1,3
310,780166,mizmazegt,Senior Member,1307619751,600,24,18
311,1827304,Binance Support,Senior Member,1661091930,204,29,28
312,1451210,luv.pusy.babe,Member,1416911266,709,571,93
313,1562129,Khach Vang Lai,Senior Member,1462447503,626,"1,280",93
314,1894031,Drax23,Junior Member,1685867875,10,0,1
315,1772992,noname2255,Junior Member,1635212205,88,43,18
316,1071391,salander,Senior Member,1342580927,213,152,43
317,1020675,phamhoanghg,Senior Member,1334325340,492,390,63
318,1905801,hinh.bong.cua.mаy,Junior Member,1688461130,1,0,3
319,118664,nammon72,Đã tốn tiền,1226839450,"1,118",131,63
320,1904475,Black_day,Junior Member,1688198582,9,-2,3
321,292456,xuandung11a2,Senior Member,1256789864,"3,363",245,63
322,1670937,Conchodeptrai,Junior Member,1583935326,197,51,28
323,1430567,FuckxxxU,Senior Member,1404734646,360,148,43
324,1545841,duygiabao1508,Member,1461110576,598,315,63
325,1800065,duchppc,Junior Member,1649295290,5,2,3
326,1905638,VN KENT,Senior Member,1688433218,50,15,8
327,1907250,Quarztee,Senior Member,1688773424,28,12,3
328,1341378,sonzenbi2,Senior Member,1381161646,"1,581","1,691",113
329,1835000,Hạnh Nè,Junior Member,1664400338,12,2,1
330,1791292,trisvanw,Senior Member,1644786806,19,2,3
331,482320,ChanNhoiBong,Senior Member,1279976532,451,87,28
332,1799792,huanlv94,Senior Member,1649144641,368,96,28
333,1688157,ac-xe-no,Senior Member,1601605164,38,26,18
334,1908877,sinhvienngheovuotkho,Junior Member,1689167783,6,-13,1
335,1891900,Torym17cm,Senior Member,1685349578,65,5,8
336,1699889,Wowylovedechoat,Senior Member,1605787174,279,142,43
337,1422364,quancd9,Senior Member,1403873004,289,24,28
338,6575,Assasin,Junior Member,1169375091,11,3,3
339,1435175,canguvang1098,Member,1408356164,"10,629",748,113
340,1726599,duongtnn,Junior Member,1617354387,97,18,8
341,1683328,mrvinht,Senior Member,1597819643,590,775,93
342,15156,sumimo,Junior Member,1182178175,88,28,18
343,1450237,akitsun,Senior Member,1416901065,125,58,28
344,1887148,Đam Mê Cuộc Sống,Senior Member,1684224080,"1,002",261,83
345,1512242,ChungDoox21198,Senior Member,1460554559,23,4,3
346,1612717,MOMO Belia Deviluke,Senior Member,1496497732,"1,630",587,113
347,1613345,AFs Marin,Senior Member,1496890261,"1,197",962,113
348,1910028,Kẻ đấm mồm CZ,Junior Member,1689482455,11,8,3
349,1785836,cuahoangde,Junior Member,1641449130,6,0,1
350,1889729,tienhv4,Senior Member,1684854979,114,21,18
351,1803411,AkiraKay,Senior Member,1650484989,50,26,18
352,1715367,huylam2412,Senior Member,1612409466,18,3,3
353,1719715,tuanteo9898,Senior Member,1614419194,36,6,8
354,8267,longu,Junior Member,1172747298,327,6,18
355,1875711,Thành viên ẩn danh,Junior Member,1680692021,160,69,28
356,1892947,Tralongtinh,Junior Member,1685588952,10,1,3
357,1844007,Pablo Picaso,Junior Member,1668390958,16,0,1
358,1911216,XRP Top 1,Junior Member,1689777249,1,1,3
359,1175882,the546,Junior Member,1356451132,144,20,18
360,1693254,dinhhuytuan,Member,1605383169,"2,344","1,022",113
361,1661485,kangkuto,Junior Member,1523959398,94,1,8
362,1043421,ducnguyen0901,Junior Member,1337872904,30,0,6
363,1906979,homestay_ecopark,Junior Member,1688714513,6,0,1
364,1713361,tvad88,Member,1611291066,523,214,43
365,1713833,Smirnovarius,Junior Member,1611550458,36,2,8
366,1832235,batquatam,Junior Member,1663335021,48,20,8
367,1803651,accnaydetaungam,Senior Member,1650563572,24,-2,6
368,1599629,mp5navy17,Senior Member,1490063931,220,471,93
369,1912215,ceodohung,Junior Member,1690121405,5,0,1
370,1057545,violinteen,Đã tốn tiền,1339983172,"1,036",452,83
371,1673514,tradachungkhoan,Junior Member,1583938025,4,2,3
372,1838953,Ho bao son 84,Junior Member,1666112314,6,-1,1
373,1359004,Kindle Fire HDX 8.9,Senior Member,1383663088,"13,444","3,351",113
374,1889052,MaMa Boy,Junior Member,1684686584,11,1,3
375,1902212,now6won,Junior Member,1687704010,83,28,18
376,1781221,phuongctxd384.,Senior Member,1638917544,625,189,43
377,1879262,Terminator.2,Junior Member,1682051429,10,0,1
378,1607833,WhatEverName,Junior Member,1493905253,72,2,8
379,1797715,alobuoi,Junior Member,1648002950,25,2,3
380,1913397,uname0x96,Senior Member,1690450826,14,2,3
381,295900,16bit,Senior Member,1257178073,123,190,43
382,1874180,hocsinhngheo,Senior Member,1680079833,660,111,43
383,1874178,Jin1211,Senior Member,1680079670,244,200,43
384,1840221,chuyensualaptop2,Junior Member,1666696553,6,0,1
385,1701622,09@gmail,Senior Member,1606278304,33,7,8
386,1913487,ThanhLinhShop,Senior Member,1690471062,240,7,18
387,1719550,trungto,Senior Member,1614346979,75,-13,8
388,1314220,kissarmy,Member,1376486159,"1,549",439,83
389,1747800,can100caiten,Member,1625487371,"4,045",555,113
390,1834522,Monkey D.Walk,Senior Member,1664242197,867,"1,612",93
391,1910935,kieu mai ly,Junior Member,1689714773,5,1,1
392,1383571,tuandung0310,Member,1387100156,941,984,93
393,1693752,Tieulong888,Senior Member,1605401109,110,30,28
394,1402284,skgaming,Junior Member,1391492620,73,17,8
395,1051146,tunghamtien,Member,1338998783,463,172,43
396,1423883,KhongTienCatAmidanDemBan,Đã tốn tiền,1403887789,"2,823","2,240",113
397,1459581,kuconvnn,Member,1417623235,"1,113",862,113
398,1530637,rotfoot,Junior Member,1460780621,131,4,18
399,1917730,mtdlog,Junior Member,1691747010,1,0,1
400,1821067,kzi.July,Junior Member,1658628242,46,6,8
401,1225057,Quangsumi,Senior Member,1363483467,94,43,18
402,1779295,laiviet,Junior Member,1637910214,2,0,1
403,1133219,aohkhna,Senior Member,1350410247,24,16,3
404,1901510,bít tết,Junior Member,1687526208,90,46,18
405,1524934,Ryuvan,Senior Member,1460682888,"2,950","1,874",113
406,1884824,ultra leo,Junior Member,1683681881,7,1,1
407,1859634,NoShower,Senior Member,1675042474,46,13,8
408,1452759,lapnickdevaof33,Senior Member,1416923530,17,6,3
409,551881,sos123,Senior Member,1287821302,519,88,28
410,1911630,Con người đứng đắn,Senior Member,1689910058,80,37,18
411,37607,ngoctrong,Đã tốn tiền,1193669499,791,62,28
412,1857672,hdbinh1102,Senior Member,1674029566,112,36,28
413,1910089,quangtrung1594,Senior Member,1689496891,479,69,28
414,1303793,rurounibk,Junior Member,1374905334,162,77,28
415,1727580,newbie99,Senior Member,1617843586,218,101,43
416,1919002,tombuz,Junior Member,1692199324,1,0,1
417,120450,trongtrung,Senior Member,1227501896,"1,518",904,113
418,1560741,khongbon,Senior Member,1462362859,428,235,43
419,1911712,Tom2016,Senior Member,1689928336,89,28,18
420,1874179,zenblue97,Senior Member,1680079680,"2,150","4,406",113
421,161059,^nh[]x^,Senior Member,1240208517,89,13,8
422,1919747,xiaotivua,Senior Member,1692428512,19,3,3
423,1835455,thanhcbkhy,Junior Member,1664565432,9,9,3
424,1385190,thanhoamc,Senior Member,1387274472,111,73,28
425,4915,banghoi,Junior Member,1166180067,107,0,18
426,1809393,Long Time Long Time,Junior Member,1653397698,146,25,28
427,1918648,Bibon2023,Junior Member,1692081301,1,-1,1
428,1874834,bear96,Junior Member,1680345384,103,11,18
429,1093267,ducanh09kt,Senior Member,1345263277,121,97,28
430,1455876,HoangBerty,Junior Member,1417089736,18,1,3
431,1450931,The Lady Of ClockWork,Junior Member,1416909482,89,1,8
432,1920645,R&D Engineer,Senior Member,1692726099,276,169,43
433,133328,hai2009,Senior Member,1232937654,179,63,28
434,1829545,Mi chal,Junior Member,1662040202,55,19,8
